SES,REGION,START_AGE,END_AGE,POPULATION,MORTALITY_RATE,MORBIDITY_RATE
2,North,85,99,112855,0.168259324,0.6732
3,North,0,4,244738,0.001043125,0.9222
3,North,5,9,250367,9.36E-05,0.9222
3,North,10,14,233886,9.47E-05,0.9222
3,North,15,19,256897,0.00027912,0.9222
3,North,20,24,301218,0.000465235,0.92474
3,North,25,29,297673,0.000530244,0.92774
3,North,30,34,279087,0.000623887,0.92771
3,North,35,39,262122,0.000966744,0.9002
3,North,40,44,279070,0.001346511,0.8659
3,North,45,49,331834,0.002104896,0.852
3,North,50,54,344796,0.003286138,0.8363
3,North,55,59,310291,0.005400142,0.8002
3,North,60,64,276478,0.00896448,0.7922
3,North,65,69,293081,0.014082955,0.8122
3,North,70,74,232698,0.024077416,0.7572
3,North,75,79,173850,0.040284274,0.7492
3,North,80,84,126981,0.072232848,0.7212
3,North,85,99,120944,0.165577639,0.6832
4,North,0,4,231793,0.0007328,0.9542
4,North,5,9,248841,8.43E-05,0.9542
4,North,10,14,241338,0.000112611,0.9542
4,North,15,19,258663,0.000332491,0.9542
4,North,20,24,267586,0.000402606,0.95674
4,North,25,29,255634,0.000418167,0.95974
4,North,30,34,251597,0.000551663,0.95971
4,North,35,39,256466,0.000713355,0.9322
4,North,40,44,291858,0.001137456,0.8979
4,North,45,49,352541,0.001664575,0.884
4,North,50,54,366200,0.002683185,0.8683
4,North,55,59,329251,0.004341894,0.8322
4,North,60,64,297202,0.007154359,0.8242
4,North,65,69,327908,0.011588199,0.8442
4,North,70,74,261190,0.020564412,0.7892
4,North,75,79,192811,0.036058513,0.7812
4,North,80,84,139684,0.067157402,0.7532
4,North,85,99,130452,0.156284451,0.7152
5,North,0,4,199892,0.00073669,0.9665
5,North,5,9,232291,6.18E-05,0.9665
5,North,10,14,233982,8.43E-05,0.9665
5,North,15,19,244372,0.000236405,0.9665
5,North,20,24,202829,0.000379083,0.96904
5,North,25,29,184722,0.000400927,0.97204
5,North,30,34,190742,0.000452503,0.97201
5,North,35,39,223936,0.00057542,0.9445
5,North,40,44,269957,0.000877992,0.9102
5,North,45,49,321706,0.001318788,0.8963
5,North,50,54,334495,0.002065422,0.8806
5,North,55,59,296437,0.00358381,0.8445
5,North,60,64,267170,0.006188593,0.8365
5,North,65,69,296028,0.00968489,0.8565
5,North,70,74,238187,0.017807186,0.8015
5,North,75,79,176142,0.032142105,0.7935
5,North,80,84,129315,0.061204983,0.7655
5,North,85,99,117245,0.146903011,0.7275
